bit,baseline_accuracy,avg_accuracy,acc_drop,time_s
0,0.682,0.494,0.188,1.58
1,0.682,0.494,0.188,0.81
2,0.682,0.494,0.188,0.8
3,0.682,0.494,0.188,0.81
4,0.682,0.494,0.188,0.8
5,0.682,0.494,0.188,0.8
6,0.682,0.494,0.188,0.81
7,0.682,0.494,0.188,0.8
8,0.682,0.494,0.188,0.81
9,0.682,0.494,0.188,0.81
10,0.682,0.494,0.188,0.8
11,0.682,0.494,0.188,0.81
12,0.682,0.494,0.188,0.81
13,0.682,0.494,0.188,0.82
14,0.682,0.494,0.188,0.82
15,0.682,0.494,0.188,0.8
16,0.682,0.496,0.186,0.81
17,0.682,0.49,0.192,0.81
18,0.682,0.486,0.196,0.81
19,0.682,0.482,0.2,0.81
20,0.682,0.484,0.198,0.8
21,0.682,0.46,0.222,0.82
22,0.682,0.454,0.228,0.81
23,0.682,0.388,0.294,0.81
24,0.682,0.292,0.39,0.81
25,0.682,0.078,0.604,0.81
26,0.682,0.076,0.606,0.8
27,0.682,0.076,0.606,0.81
28,0.682,0.076,0.606,0.8
29,0.682,0.076,0.606,0.81
30,0.682,0.392,0.29,0.81
31,0.682,0.064,0.618,0.8
