bit,baseline_accuracy,avg_accuracy,acc_drop,time_s
0,0.682,0.494,0.188,0.9
1,0.682,0.494,0.188,0.9
2,0.682,0.494,0.188,0.9
3,0.682,0.494,0.188,0.9
4,0.682,0.494,0.188,0.9
5,0.682,0.494,0.188,0.9
6,0.682,0.494,0.188,0.9
7,0.682,0.494,0.188,0.9
8,0.682,0.494,0.188,0.9
9,0.682,0.494,0.188,0.9
10,0.682,0.494,0.188,0.9
11,0.682,0.494,0.188,0.9
12,0.682,0.494,0.188,0.9
13,0.682,0.494,0.188,0.9
14,0.682,0.494,0.188,0.9
15,0.682,0.496,0.186,0.9
16,0.682,0.494,0.188,0.92
17,0.682,0.496,0.186,0.9
18,0.682,0.502,0.18,0.9
19,0.682,0.504,0.178,0.91
20,0.682,0.504,0.178,0.9
21,0.682,0.494,0.188,0.9
22,0.682,0.488,0.194,0.91
23,0.682,0.394,0.288,0.91
24,0.682,0.262,0.42,0.92
25,0.682,0.248,0.434,0.92
26,0.682,0.078,0.604,0.92
27,0.682,0.44,0.242,0.91
28,0.682,0.492,0.19,0.91
29,0.682,0.492,0.19,0.92
30,0.682,0.258,0.424,0.91
31,0.682,0.494,0.188,0.72
